Name,City,Category,Overall Score,Grade,Data Complete,Contact Quality,Online Presence,Reputation,Business Size,Strengths,Weaknesses
"Jasper's - Austin","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Judges' Hill Restaurant","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Kona Grill - Austin","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"La Condesa","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Las Palomas Restaurant-Bar","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Manuel's Downtown","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Manuel's Great Hills","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Max's Wine Dive - Austin","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"The Melting Pot - Austin - Northwest","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"NoRTH - Austin","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Olive and June","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Paggi House","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Parkside","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Perla's Seafood and Oyster Bar","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Ranch 616","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Riviera Bistro","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Roaring Fork-Downtown, Congress","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Roaring Fork-North Austin, Stonelake","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"The Salty Sow","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Santa Catarina Restaurant","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Satellite Bistro and Bar","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Siena Ristorante Toscano","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Soleil at The Oasis","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"SPIN Modern Thai","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Steiner Ranch Steakhouse","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Stories Fine Dining Establishment at Hyatt Regency Lost Pines","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Sullivan's Steakhouse - Austin","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Sushi Zushi of 5th Street","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Sushi Zushi of the Domain","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Swift's Attic","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Texas French Bread","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Trace - W - Austin","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"TRIO - Four Seasons Austin","Austin","Restaurant","74","B","75","100","40","88","50","Excellent contact info; Highly rated","N/A"
"Zax Restaurant & Bar","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Z'Tejas Arboretum","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Z'Tejas Austin 6th St","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"Z'Tejas Avery Ranch","Austin","Restaurant","74","B","75","100","40","85","50","Excellent contact info; Highly rated","N/A"
"1886 Cafe & Bakery - Driskill Hotel","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"eleven plates & wine","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"finn & porter","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"Gumbo's Steak and Seafood - Bee Cave","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"Hugo's Restaurant and Tequila Bar","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"McCormick & Schmick's Seafood - Austin (Century Oaks)","Austin","Restaurant","71","B","75","100","40","73","50","Excellent contact info","N/A"
"The Russian House","Austin","Restaurant","71","B","75","100","40","73","50","Excellent contact info","N/A"
"SWB @ the Hyatt Regency Austin","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"urban an american grill","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"The Woodland","Austin","Restaurant","71","B","75","100","40","70","50","Excellent contact info","N/A"
"Driskill Grill - Driskill Hotel","Austin","Restaurant","70","B","75","75","40","95","50","Highly rated","N/A"
"Eddie V's - 5th Street","Austin","Restaurant","70","B","75","75","40","98","50","Highly rated","N/A"
"Eddie V's - Arboretum","Austin","Restaurant","70","B","75","75","40","98","50","Highly rated","N/A"
"Hudson's On The Bend","Austin","Restaurant","70","B","75","75","40","95","50","Highly rated","N/A"
"Ruth's Chris Steak House - Austin","Austin","Restaurant","70","B","75","75","40","98","50","Highly rated","N/A"
"wink","Austin","Restaurant","70","B","75","75","40","98","50","Highly rated","N/A"
"Uchi","Austin","Sushi","69","B-","100","75","50","50","50","Complete data","N/A"
"Whole Foods Market Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"National Instruments Corp.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Cirrus Logic Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Silicon Laboratories Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"National Western Life Group Inc.","Austin","Public Company","69","B-","100","65","40","50","95","Complete data; Large/established","N/A"
"Parsley Energy LLC","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Chuy's Holdings Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Thermon Group Holdings Inc.","San Marcos","Public Company","69","B-","100","65","40","50","95","Complete data; Large/established","N/A"
"Amplify Snack Brands","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Citizens Inc.","Austin","Public Company","69","B-","100","65","40","50","95","Complete data; Large/established","N/A"
"Bazaarvoice Inc.","Austin","Public Company","69","B-","100","65","40","50","95","Complete data; Large/established","N/A"
"Forestar Group Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Q2 Holdings Inc.","Austin","Public Company","69","B-","100","65","40","50","95","Complete data; Large/established","N/A"
"Xplore Technologies Corp.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Upland Software Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"FieldPoint Petroleum Corp.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Crossroads Systems Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Victory Energy","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"XBiotech Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Pain Therapeutics Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Mirna Therapeutics Inc.","Austin","Public Company","69","B-","100","65","40","50","100","Complete data; Large/established","N/A"
"Andiamo Ristorante","Austin","Restaurant","68","B-","75","75","40","85","50","Highly rated","N/A"
"Bar Mirabeau","Austin","Restaurant","68","B-","75","100","40","55","50","Excellent contact info","N/A"
"Cafe Josie","Austin","Restaurant","68","B-","75","75","40","85","50","Highly rated","N/A"
"FINO Restaurant Patio & Bar","Austin","Restaurant","68","B-","75","75","40","88","50","Highly rated","N/A"
"Lambert's Downtown BBQ","Austin","Restaurant","68","B-","75","75","40","85","50","Highly rated","N/A"
"Maggiano's - Austin","Austin","Restaurant","68","B-","75","75","40","88","50","Highly rated","N/A"
"American Campus Communities Inc.","Austin","Public Company","68","B-","100","65","40","50","90","Complete data; Large/established","N/A"
"EZCorp Inc.","Austin","Public Company","68","B-","100","65","40","50","90","Complete data; Large/established","N/A"
"Luminex Corp.","Austin","Public Company","68","B-","100","65","40","50","90","Complete data; Large/established","N/A"
"Jones Energy Inc.","Austin","Public Company","67","B-","100","65","40","50","80","Complete data","N/A"
"Asure Software Inc.","Austin","Public Company","67","B-","100","65","40","50","80","Complete data","N/A"
"USA Compression Partners LLC","Austin","Public Company","66","B-","100","65","40","50","70","Complete data","N/A"
"Digital Turbine Inc.","Austin","Public Company","66","B-","100","65","40","50","70","Complete data","N/A"
"Stratus Properties Inc.","Austin","Public Company","66","B-","100","65","40","50","70","Complete data","N/A"
"Astrotech Corp.","Austin","Public Company","66","B-","100","65","40","50","70","Complete data","N/A"
"Vermillion Inc.","Austin","Public Company","66","B-","100","65","40","50","70","Complete data","N/A"
"Savara Pharmaceuticals","Austin","Public Company","66","B-","100","65","40","50","65","Complete data","N/A"
"Superconductor Technologies Inc. (STI)","Austin","Public Company","66","B-","100","65","40","50","70","Complete data","N/A"
"Hemingway Restaurant and Bar","Austin","Restaurant","65","B-","75","75","40","70","50","N/A","N/A"
"Aeglea BioTherapeutics Holdings LLC","Austin","Public Company","65","B-","100","65","40","50","60","Complete data","N/A"
"Ideal Power Inc.","Austin","Public Company","65","B-","100","65","40","50","60","Complete data","N/A"
"Blue Corn Harvest Bar & Grill","Cedar Park","American","51","C-","85","50","10","50","50","N/A","Weak online presence"
"Franklin Barbecue","Austin","BBQ","49","D","85","50","0","50","50","N/A","Weak online presence"
"Torchy's Tacos","Austin","Mexican Food","49","D","85","50","0","50","50","N/A","Weak online presence"
"Matt's El Rancho","Austin","Mexican Food","49","D","85","50","0","50","50","N/A","Weak online presence"
"Hopdoddy Burger Bar","Austin","Burgers","49","D","85","50","0","50","50","N/A","Weak online presence"
"Kerbey Lane Cafe","Austin","American Diner","49","D","85","50","0","50","50","N/A","Weak online presence"
"La Barbecue","Austin","BBQ","49","D","85","50","0","50","50","N/A","Weak online presence"
"Home Slice Pizza","Austin","Pizza","49","D","85","50","0","50","50","N/A","Weak online presence"
"Chuy's","Austin","Mexican Food","49","D","85","50","0","50","50","N/A","Weak online presence"
"Polvos Mexican Restaurant","Austin","Mexican Food","49","D","85","50","0","50","50","N/A","Weak online presence"
"The Salt Lick BBQ","Driftwood","BBQ","49","D","85","50","0","50","50","N/A","Weak online presence"
"Terry Black's Barbecue","Austin","BBQ","49","D","85","50","0","50","50","N/A","Weak online presence"
"Loro","Austin","Asian BBQ","49","D","85","50","0","50","50","N/A","Weak online presence"
"Odd Duck","Austin","American Contemporary","49","D","85","50","0","50","50","N/A","Weak online presence"
"Magnolia Cafe","Austin","American Diner","49","D","85","50","0","50","50","N/A","Weak online presence"
"Jo's Coffee","Austin","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Houndstooth Coffee","Austin","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Caffé Medici","Austin","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Cosmic Coffee + Beer Garden","Austin","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Mozart's Coffee Roasters","Austin","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"The Austin Beer Garden Brewing Company","Austin","Brewery","49","D","85","50","0","50","50","N/A","Weak online presence"
"Pinthouse Pizza","Austin","Brewery & Pizza","49","D","85","50","0","50","50","N/A","Weak online presence"
"Jester King Brewery","Austin","Brewery","49","D","85","50","0","50","50","N/A","Weak online presence"
"Oddwood Brewing","Austin","Brewery","49","D","85","50","0","50","50","N/A","Weak online presence"
"Live Oak Brewing Company","Austin","Brewery","49","D","85","50","0","50","50","N/A","Weak online presence"
"Independence Brewing Company","Austin","Brewery","49","D","85","50","0","50","50","N/A","Weak online presence"
"Red Horn Coffee House","Cedar Park","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Black Sugar Caffe","Cedar Park","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"La Dosis Coffee + Cocktails","Cedar Park","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"1431 Cafe","Cedar Park","Coffee Shop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Cedar Park Barbershop","Cedar Park","Barbershop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Danny's Barber Shop","Cedar Park","Barbershop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Derrick's Barbershop","Austin","Barbershop","49","D","85","50","0","50","50","N/A","Weak online presence"
"Gambuzza's Barbershop","Cedar Park","Barbershop","49","D","85","50","0","50","50","N/A","Weak online presence"
"bex + Co. Salon","Cedar Park","Hair Salon","49","D","85","50","0","50","50","N/A","Weak online presence"
"Bang Salon & Day Spa","Cedar Park","Salon & Spa","49","D","85","50","0","50","50","N/A","Weak online presence"
"Round Rock Donuts","Round Rock","Bakery","49","D","85","50","0","50","50","N/A","Weak online presence"
"Kerbey Lane Cafe Round Rock","Round Rock","American Diner","49","D","85","50","0","50","50","N/A","Weak online presence"
"Clay Pit Contemporary Indian Cuisine - Round Rock","Round Rock","Indian Food","49","D","85","50","0","50","50","N/A","Weak online presence"
"Monument Cafe","Georgetown","American Diner","49","D","85","50","0","50","50","N/A","Weak online presence"
"600 Degrees Pizzeria & Drafthouse","Georgetown","Pizza","49","D","85","50","0","50","50","N/A","Weak online presence"
"Dos Salsas","Georgetown","Mexican Food","49","D","85","50","0","50","50","N/A","Weak online presence"
"Stiles Switch BBQ & Brew","Austin","BBQ","49","D","85","50","0","50","50","N/A","Weak online presence"
"Mouton's Southern Bistro","Leander","Cajun/Southern","49","D","85","50","0","50","50","N/A","Weak online presence"
"Aspire Dental","Austin","Dentist","49","D","85","50","0","50","50","N/A","Weak online presence"
"Great Hills Family Dentistry","Austin","Dentist","49","D","85","50","0","50","50","N/A","Weak online presence"
"Four Points Dental Studio","Austin","Dentist","49","D","85","50","0","50","50","N/A","Weak online presence"
"ABC Home & Commercial Services","Austin","Pest Control & HVAC","49","D","85","50","0","50","50","N/A","Weak online presence"
"Stan's Heating Air Plumbing & Electrical","Austin","HVAC & Plumbing","49","D","85","50","0","50","50","N/A","Weak online presence"
"Radiant Plumbing and Air Conditioning","Austin","Plumbing & HVAC","49","D","85","50","0","50","50","N/A","Weak online presence"
"Precision Air & Heating","Hutto","HVAC","49","D","85","50","0","50","50","N/A","Weak online presence"
"Goettl Air Conditioning & Plumbing","Austin","HVAC & Plumbing","49","D","85","50","0","50","50","N/A","Weak online presence"
"Yost Automotive","Austin","Auto Repair","49","D","85","50","0","50","50","N/A","Weak online presence"
"Christian Brothers Automotive","Austin","Auto Repair","49","D","85","50","0","50","50","N/A","Weak online presence"
"European Specialists","Austin","European Auto Repair","49","D","85","50","0","50","50","N/A","Weak online presence"
"Realty Austin","Austin","Real Estate","49","D","85","50","0","50","50","N/A","Weak online presence"
"Moreland Properties","Austin","Real Estate","49","D","85","50","0","50","50","N/A","Weak online presence"
"Minton Law Firm","Austin","Law Firm","49","D","85","50","0","50","50","N/A","Weak online presence"
"Padgett Business Services","Austin","Accounting & Tax","49","D","85","50","0","50","50","N/A","Weak online presence"
"Waterloo Records","Austin","Music Store","49","D","85","50","0","50","50","N/A","Weak online presence"
"BookPeople","Austin","Bookstore","49","D","85","50","0","50","50","N/A","Weak online presence"
"Toy Joy","Austin","Toy Store","49","D","85","50","0","50","50","N/A","Weak online presence"
"Allen's Boots","Austin","Western Wear","49","D","85","50","0","50","50","N/A","Weak online presence"
"Castle Hill Fitness","Austin","Gym","49","D","85","50","0","50","50","N/A","Weak online presence"
"Lifetime Athletic","Austin","Athletic Club","49","D","85","50","0","50","50","N/A","Weak online presence"
"Red Horn Coffee House","Cedar Park","cafe","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Black Sugar Caffe","Cedar Park","cafe","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"La Dosis Coffee + Cocktails","Cedar Park","cafe","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"1431 Cafe","Cedar Park","cafe","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Cedar Park Barbershop","Cedar Park","salon","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Danny's Barber Shop","Cedar Park","salon","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Derrick's Barbershop","Cedar Park","salon","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Gambuzza's Barbershop","Cedar Park","salon","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"bex + Co. Salon","Cedar Park","salon","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Bang Salon & Day Spa","Cedar Park","salon","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"The Austin Beer Garden Brewing Company","Austin","brewery","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Pinthouse","Austin","brewery","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Jester King Brewery","Austin","brewery","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Oddwood Brewing","Austin","brewery","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
"Tony C's Beer Garden","Austin","brewery","28","F","50","0","0","50","50","N/A","Incomplete data; Poor contact info; Weak online presence"
